location_id,latitude,longitude,timestamp,temperature,rainfall_mm,wind_speed,humidity,visibility_km,traffic_congestion_level,average_speed,traffic_volume,num_recent_accidents,num_recent_incidents,risk_score,risk_category,severity_level
58,9.450013,79.820594,2025-11-08 10:29:59,28.72,0.0,10.55,71.48,10.0,2,66,300,2,0,0.3,low,3.0
59,9.008865,80.881191,2025-11-09 02:29:59,30.81,1.55,13.67,59.86,10.0,8,24,34,1,1,0.4,low,4.0
60,6.826734,79.59964,2025-11-11 10:29:59,28.86,0.0,5.54,77.95,10.0,0,80,1128,0,1,0.1161,safe,1.16
61,6.86655,80.286495,2025-11-14 02:29:59,28.8,0.0,3.2,85.48,10.0,8,24,1442,1,2,0.4,low,4.0
62,7.667526,81.150001,2025-11-12 08:29:59,21.61,0.0,8.67,89.31,10.0,0,80,34,1,1,0.15,safe,1.5
63,7.532448,80.579849,2025-11-10 05:29:59,29.76,0.0,3.62,95.0,10.0,6,38,63,0,2,0.24,safe,2.4
64,9.335407,80.324122,2025-11-11 17:29:59,20.95,0.0,3.68,70.25,10.0,1,73,31,0,1,0.1204,safe,1.2
65,9.228127,80.235405,2025-11-12 23:29:59,31.09,2.89,33.77,64.34,10.0,2,66,727,0,1,0.2,safe,2.0
66,7.537475,79.545932,2025-11-08 02:29:59,34.24,0.0,13.6,89.86,10.0,2,66,812,0,1,0.2602,safe,2.6
67,7.063504,80.756921,2025-11-10 14:29:59,18.25,0.0,6.47,95.0,10.0,0,80,799,1,0,0.15,safe,1.5
68,8.71061,80.246862,2025-11-09 10:29:59,20.69,0.0,1.98,71.9,10.0,7,31,1555,2,1,0.3,low,3.0
69,8.771542,79.817097,2025-11-10 10:29:59,24.75,0.0,0.1,68.83,10.0,2,66,661,1,2,0.15,safe,1.5
70,8.238406,80.969386,2025-11-14 12:29:59,31.74,0.0,2.53,94.1,10.0,0,80,199,0,2,0.2341,safe,2.34
71,5.99414,80.714047,2025-11-09 17:29:59,22.44,0.0,7.91,65.73,10.0,10,10,38,0,0,0.25,safe,2.5
72,6.188087,80.750629,2025-11-11 19:29:59,31.5,0.14,0.72,79.76,10.0,3,59,2285,0,2,0.1371,safe,1.37
73,6.34152,80.920187,2025-11-09 20:29:59,25.12,0.0,11.61,85.32,10.0,0,80,712,0,1,0.1542,safe,1.54
74,9.660015,81.46096,2025-11-12 18:29:59,25.64,0.0,4.3,73.53,10.0,0,80,704,0,1,0.1318,safe,1.32
75,8.671753,81.114224,2025-11-08 14:29:59,30.03,0.7,8.44,70.73,10.0,2,66,246,2,1,0.3,low,3.0
76,8.954335,80.07061,2025-11-14 07:29:59,24.73,0.0,8.64,58.63,10.0,6,38,585,0,2,0.2757,safe,2.76
77,9.287765,80.658019,2025-11-10 11:29:59,27.29,4.09,11.77,80.69,10.0,4,52,3976,0,0,0.0794,safe,0.79
78,8.38068,81.751732,2025-11-10 18:29:59,27.77,0.0,5.65,90.91,10.0,2,66,1301,0,1,0.1786,safe,1.79
79,8.902372,81.249323,2025-11-08 01:29:59,25.51,3.24,8.17,82.01,10.0,1,73,598,0,3,0.0419,safe,0.42
80,5.924105,81.438247,2025-11-12 05:29:59,32.87,1.2,2.79,50.0,10.0,3,59,292,0,1,0.2655,safe,2.66
81,7.112677,80.637388,2025-11-09 23:29:59,30.56,0.0,0.16,82.84,10.0,6,38,205,0,2,0.2228,safe,2.23
82,9.603721,80.345535,2025-11-12 16:29:59,26.08,0.0,11.85,66.4,10.0,5,45,2459,0,0,0.2449,safe,2.45
83,8.050714,81.270586,2025-11-10 17:29:59,29.81,0.0,5.92,69.98,10.0,6,38,890,0,0,0.1652,safe,1.65
84,8.847361,80.447217,2025-11-12 02:29:59,29.98,0.0,13.24,71.91,10.0,7,31,1800,0,2,0.2306,safe,2.31
85,9.783856,79.521006,2025-11-10 10:29:59,24.05,3.08,14.73,69.7,10.0,1,73,545,1,0,0.15,safe,1.5
86,8.432456,81.703881,2025-11-12 17:29:59,32.79,0.0,3.83,87.84,10.0,7,31,968,0,1,0.2136,safe,2.14
87,7.424174,81.1781,2025-11-09 16:29:59,32.19,0.0,7.73,50.0,10.0,6,38,823,0,1,0.1088,safe,1.09
88,8.130659,80.967542,2025-11-13 16:29:59,33.39,0.0,9.5,64.42,10.0,4,52,1333,1,0,0.15,safe,1.5
89,6.679323,79.960844,2025-11-14 03:29:59,28.71,0.0,3.51,69.68,10.0,2,66,962,0,0,0.2317,safe,2.32
90,9.333588,80.36963,2025-11-09 20:29:59,25.22,0.0,3.39,68.55,10.0,4,52,549,2,2,0.3,low,3.0
91,8.902695,79.889061,2025-11-12 01:29:59,23.32,0.0,8.91,79.95,10.0,8,24,170,0,1,0.25,safe,2.5
92,8.816565,81.646828,2025-11-08 06:29:59,26.78,0.0,12.17,81.75,10.0,4,52,213,0,2,0.0105,safe,0.1
93,8.103953,80.532926,2025-11-14 01:29:59,23.36,0.0,7.39,69.21,10.0,0,80,499,0,3,0.2099,safe,2.1
94,8.439857,80.609967,2025-11-12 05:29:59,24.63,0.0,3.7,95.0,10.0,6,38,204,1,1,0.15,safe,1.5
95,6.869951,81.075313,2025-11-09 06:29:59,27.27,1.65,9.32,75.24,10.0,1,73,1633,0,0,0.2838,safe,2.84
96,7.759417,79.582452,2025-11-12 16:29:59,34.29,2.12,24.74,68.21,10.0,1,73,527,0,0,0.0839,safe,0.84
97,8.909082,80.104088,2025-11-14 14:29:59,31.57,0.0,4.67,74.05,10.0,1,73,107,2,0,0.3,low,3.0
98,6.974589,80.602558,2025-11-11 15:29:59,24.16,0.0,1.6,85.68,10.0,3,59,351,0,2,0.2176,safe,2.18
99,9.528227,80.494173,2025-11-12 09:29:59,22.6,0.0,11.38,79.72,10.0,1,73,1424,1,1,0.15,safe,1.5
100,9.289335,79.631973,2025-11-09 18:29:59,31.45,0.0,2.06,79.92,10.0,3,59,227,0,0,0.2524,safe,2.52
101,9.795743,81.7423,2025-11-14 20:29:59,25.83,0.0,8.47,65.3,10.0,0,80,1021,1,1,0.15,safe,1.5
102,8.639969,81.214203,2025-11-09 23:29:59,27.1,8.37,10.11,80.47,10.0,8,24,35,0,1,0.25,safe,2.5
103,8.796603,81.033994,2025-11-11 20:29:59,32.15,8.21,3.44,84.58,10.0,3,59,1603,0,2,0.2757,safe,2.76
104,8.50188,80.275215,2025-11-10 16:29:59,22.58,2.92,7.36,66.19,10.0,6,38,1416,0,1,0.2216,safe,2.22
105,8.20344,81.081362,2025-11-14 07:29:59,30.75,6.35,11.2,71.53,10.0,3,59,646,1,3,0.15,safe,1.5
106,8.408999,79.966603,2025-11-09 20:29:59,25.02,7.9,6.19,69.0,10.0,3,59,65,0,2,0.2508,safe,2.51
107,8.449956,81.327787,2025-11-13 16:29:59,26.76,0.0,0.18,85.33,10.0,1,73,102,0,3,0.1346,safe,1.35
108,8.293316,79.612883,2025-11-10 15:29:59,26.93,0.0,15.55,83.24,10.0,9,17,939,0,3,0.25,safe,2.5
109,6.764556,80.926987,2025-11-11 14:29:59,20.5,1.16,4.76,70.84,10.0,5,45,400,0,0,0.227,safe,2.27
110,7.669952,81.318428,2025-11-11 21:29:59,26.42,0.0,6.06,79.97,10.0,0,80,286,0,1,0.2976,safe,2.98
111,8.242961,80.511503,2025-11-10 12:29:59,28.93,8.3,3.18,84.51,10.0,1,73,1593,0,0,0.2712,safe,2.71
112,8.131327,80.500469,2025-11-12 16:29:59,25.06,0.0,2.51,75.0,10.0,8,24,993,0,0,0.25,safe,2.5
113,6.168353,80.711409,2025-11-11 17:29:59,32.02,2.6,1.54,68.77,10.0,0,80,48,1,1,0.15,safe,1.5
114,7.825374,79.878972,2025-11-13 11:29:59,29.83,0.0,15.74,66.27,10.0,1,73,1977,0,0,0.2529,safe,2.53
115,9.612678,81.282106,2025-11-14 10:29:59,27.8,0.0,1.66,92.51,10.0,4,52,1236,0,2,0.1808,safe,1.81
116,7.780066,81.775349,2025-11-13 05:29:59,27.05,0.0,2.81,64.79,10.0,4,52,552,0,0,0.1794,safe,1.79
117,9.180513,81.869206,2025-11-13 03:29:59,26.02,0.0,3.61,67.54,10.0,0,80,554,0,0,0.051,safe,0.51
118,9.489711,80.589041,2025-11-13 07:29:59,28.72,6.79,8.32,64.43,10.0,3,59,145,0,1,0.2337,safe,2.34
119,8.993767,79.546245,2025-11-08 21:29:59,26.69,0.68,0.92,86.33,10.0,2,66,403,3,0,0.45,low,4.5
120,7.522704,80.346909,2025-11-12 12:29:59,26.25,0.0,14.74,73.08,10.0,4,52,1589,0,0,0.0786,safe,0.79
121,6.88521,81.516024,2025-11-12 18:29:59,30.44,6.96,2.72,72.62,10.0,3,59,599,1,2,0.15,safe,1.5
122,7.803865,81.087201,2025-11-12 06:29:59,23.71,0.49,0.51,78.41,10.0,6,38,302,1,1,0.15,safe,1.5
123,6.802834,81.47278,2025-11-08 00:29:59,30.37,0.0,22.32,51.83,10.0,2,66,476,0,1,0.1135,safe,1.14
124,9.000342,81.815332,2025-11-14 20:29:59,27.89,0.0,5.38,76.14,10.0,3,59,932,0,2,0.0499,safe,0.5
125,9.052039,80.359068,2025-11-14 18:29:59,31.89,0.0,8.38,93.85,10.0,0,80,645,1,2,0.15,safe,1.5
126,9.586151,81.196599,2025-11-14 08:29:59,26.59,13.84,1.77,73.09,1.18,3,59,3,0,0,0.2,safe,2.0
127,7.775139,79.701844,2025-11-09 20:29:59,26.28,13.53,11.08,87.35,6.84,3,59,3356,1,0,0.15,safe,1.5
128,6.110657,80.560743,2025-11-14 06:29:59,27.72,8.24,9.59,84.04,10.0,6,38,1700,0,2,0.0786,safe,0.79
129,9.758204,80.76143,2025-11-09 21:29:59,26.69,0.0,0.34,79.89,10.0,0,80,836,1,1,0.15,safe,1.5
130,7.60124,81.463042,2025-11-10 09:29:59,24.72,0.0,19.01,85.81,10.0,2,66,307,0,0,0.0382,safe,0.38
131,6.302518,81.773656,2025-11-12 17:29:59,31.62,14.95,7.42,79.75,5.8,2,66,57,1,0,0.15,safe,1.5
132,7.269133,81.86732,2025-11-09 22:29:59,29.57,15.22,2.44,82.23,2.03,0,80,1644,0,0,0.1554,safe,1.55
133,7.984249,81.890076,2025-11-10 05:29:59,31.03,2.24,7.0,67.15,10.0,1,73,356,1,1,0.15,safe,1.5
134,6.969528,81.823317,2025-11-14 17:29:59,30.31,0.0,3.63,71.18,10.0,2,66,1721,0,2,0.2789,safe,2.79
135,8.088672,81.334627,2025-11-10 12:29:59,28.81,0.0,11.59,75.76,10.0,2,66,428,0,1,0.0434,safe,0.43
136,7.425577,80.970759,2025-11-13 11:29:59,25.1,0.0,5.07,79.33,10.0,7,31,354,0,2,0.2942,safe,2.94
137,7.270223,79.68701,2025-11-13 19:29:59,32.91,0.29,17.83,75.69,10.0,2,66,769,0,1,0.292,safe,2.92
138,8.343655,81.479049,2025-11-08 01:29:59,28.87,0.0,13.24,65.81,10.0,3,59,482,2,1,0.3,low,3.0
139,7.957583,79.631314,2025-11-11 09:29:59,23.22,0.0,15.94,82.68,10.0,4,52,58,0,3,0.0193,safe,0.19
140,9.513111,80.560907,2025-11-13 14:29:59,28.91,6.31,0.78,70.99,10.0,5,45,1835,0,0,0.1262,safe,1.26
141,8.990887,80.175403,2025-11-08 06:29:59,31.23,3.41,18.5,87.53,10.0,2,66,303,0,3,0.1967,safe,1.97
142,9.012673,80.98266,2025-11-12 00:29:59,32.42,0.0,17.59,95.0,10.0,1,73,411,1,1,0.15,safe,1.5
143,9.626542,81.609588,2025-11-14 02:29:59,24.96,0.0,0.13,64.55,10.0,8,24,1514,0,1,0.25,safe,2.5
144,9.159032,80.892199,2025-11-12 10:29:59,25.85,0.0,13.83,95.0,10.0,1,73,662,2,2,0.3,low,3.0
145,7.758932,81.448157,2025-11-12 01:29:59,26.41,0.23,2.78,73.34,10.0,0,80,520,0,0,0.0342,safe,0.34
146,6.203957,81.503883,2025-11-08 05:29:59,28.39,0.0,13.93,80.62,10.0,3,59,312,0,1,0.0163,safe,0.16
147,6.603315,80.040653,2025-11-09 10:29:59,28.15,0.0,1.53,74.01,10.0,0,80,1319,2,0,0.3,low,3.0
148,9.236426,79.833324,2025-11-08 23:29:59,30.61,2.13,10.22,65.11,10.0,7,31,471,0,0,0.218,safe,2.18
149,6.264886,79.784368,2025-11-13 04:29:59,28.28,0.0,0.29,71.86,10.0,3,59,306,2,6,0.3,low,3.0
150,7.208584,81.250738,2025-11-14 02:29:59,30.54,0.0,6.16,62.7,10.0,1,73,4952,1,0,0.15,safe,1.5
151,9.128863,81.255434,2025-11-10 20:29:59,28.53,0.0,1.55,72.19,10.0,3,59,694,0,1,0.0234,safe,0.23
152,9.200821,80.552401,2025-11-09 09:29:59,23.76,0.0,19.6,51.55,10.0,2,66,1759,0,0,0.1331,safe,1.33
153,9.087556,79.894527,2025-11-09 13:29:59,31.85,0.0,0.37,79.25,10.0,5,45,1811,0,1,0.1667,safe,1.67
154,8.323473,79.966542,2025-11-14 16:29:59,24.82,0.0,0.32,68.1,10.0,5,45,681,0,1,0.2128,safe,2.13
155,7.27877,79.586321,2025-11-10 23:29:59,28.56,0.72,7.04,70.82,10.0,6,38,430,0,1,0.2244,safe,2.24
156,6.820726,79.556175,2025-11-13 00:29:59,28.43,1.9,10.66,66.68,10.0,4,52,507,1,0,0.15,safe,1.5
157,6.086132,80.716883,2025-11-09 18:29:59,33.07,0.0,1.22,84.27,10.0,3,59,17,0,2,0.1934,safe,1.93
158,9.121183,80.045749,2025-11-12 17:29:59,31.35,0.0,0.83,71.18,10.0,5,45,255,0,2,0.2054,safe,2.05
159,8.20047,80.927301,2025-11-08 16:29:59,35.87,0.0,7.64,86.04,10.0,2,66,1003,0,2,0.2914,safe,2.91
160,7.295111,80.617161,2025-11-10 08:29:59,32.1,0.0,5.61,77.52,10.0,0,80,326,1,5,0.15,safe,1.5
161,7.535911,80.496931,2025-11-14 05:29:59,19.63,0.0,3.0,86.86,10.0,1,73,1194,0,1,0.2363,safe,2.36
162,7.738218,81.459548,2025-11-14 12:29:59,29.3,0.0,28.05,62.22,10.0,5,45,650,0,0,0.0561,safe,0.56
163,6.433189,81.770113,2025-11-10 00:29:59,24.93,0.0,6.35,85.43,10.0,0,80,1182,2,2,0.3,low,3.0
164,6.679257,81.348388,2025-11-12 18:29:59,30.26,3.55,16.29,72.25,10.0,9,17,231,1,0,0.4,low,4.0
165,8.307328,81.058872,2025-11-09 17:29:59,28.8,11.24,0.09,69.48,2.3,7,31,936,0,1,0.0451,safe,0.45
166,8.485324,79.969883,2025-11-08 01:29:59,30.3,1.31,0.97,66.58,10.0,7,31,1874,0,2,0.0862,safe,0.86
167,7.012924,79.669862,2025-11-08 10:29:59,28.63,0.0,17.4,71.57,10.0,3,59,173,0,0,0.01,safe,0.1
168,6.225697,81.087528,2025-11-09 02:29:59,27.43,0.0,14.16,71.64,10.0,2,66,11,1,3,0.15,safe,1.5
169,9.390661,81.279288,2025-11-14 17:29:59,37.85,0.0,4.76,75.55,10.0,9,17,1145,1,3,0.4,low,4.0
170,5.915118,80.509413,2025-11-12 03:29:59,25.2,0.0,3.67,74.6,10.0,1,73,1,1,2,0.15,safe,1.5
171,9.353031,80.653982,2025-11-13 20:29:59,33.8,0.0,4.41,74.25,10.0,3,59,2210,0,4,0.1791,safe,1.79
172,6.000654,80.986,2025-11-11 18:29:59,23.5,5.21,3.7,64.87,10.0,7,31,1483,0,2,0.041,safe,0.41
173,8.323054,80.766998,2025-11-12 20:29:59,27.37,0.0,4.51,86.86,10.0,0,80,1600,0,0,0.0915,safe,0.91
174,6.051575,81.773545,2025-11-14 05:29:59,24.99,20.08,10.96,66.72,5.58,6,38,822,0,0,0.2153,safe,2.15
175,6.319529,79.507547,2025-11-08 15:29:59,24.44,1.48,0.38,67.35,10.0,6,38,797,0,1,0.0054,safe,0.05
176,6.156454,81.086141,2025-11-12 20:29:59,26.4,0.0,6.67,82.55,10.0,6,38,116,0,1,0.119,safe,1.19
177,9.737494,79.953264,2025-11-14 19:29:59,23.94,0.0,4.84,70.76,10.0,5,45,594,0,1,0.0122,safe,0.12
178,9.239114,81.866872,2025-11-14 22:29:59,23.31,0.0,0.52,95.0,10.0,1,73,987,1,2,0.15,safe,1.5
179,8.042403,80.4655,2025-11-10 20:29:59,30.04,0.0,10.04,90.97,10.0,3,59,1279,0,1,0.2709,safe,2.71
180,9.712728,79.904682,2025-11-13 14:29:59,36.2,0.0,31.69,87.83,10.0,2,66,301,0,1,0.2,safe,2.0
181,6.765698,79.692405,2025-11-08 01:29:59,25.38,0.0,11.21,50.14,10.0,1,73,1044,0,0,0.2503,safe,2.5
182,7.62838,80.089182,2025-11-12 20:29:59,19.88,0.0,2.63,81.58,10.0,0,80,744,1,1,0.15,safe,1.5
183,7.575697,79.729003,2025-11-08 16:29:59,21.85,0.0,1.69,77.37,10.0,1,73,77,0,2,0.2302,safe,2.3
184,8.149691,80.668463,2025-11-10 04:29:59,23.69,0.0,9.96,69.81,10.0,3,59,1541,1,0,0.15,safe,1.5
185,5.935475,80.956193,2025-11-09 06:29:59,30.2,0.0,16.23,78.67,10.0,3,59,485,1,0,0.15,safe,1.5
186,7.695854,79.621367,2025-11-14 04:29:59,31.4,4.11,8.05,67.73,10.0,7,31,1296,1,2,0.15,safe,1.5
187,7.057275,81.421122,2025-11-11 18:29:59,29.35,0.41,21.45,77.97,10.0,8,24,61,1,0,0.4,low,4.0
188,6.821847,80.205385,2025-11-09 04:29:59,22.13,2.19,18.73,72.56,10.0,3,59,123,0,1,0.2079,safe,2.08
189,6.139282,80.705416,2025-11-12 05:29:59,23.58,0.0,0.41,79.94,10.0,3,59,2274,0,1,0.1756,safe,1.76
190,6.47783,81.356294,2025-11-14 02:29:59,26.69,0.0,0.38,81.96,10.0,3,59,11,0,0,0.1568,safe,1.57
191,6.157619,80.279591,2025-11-11 18:29:59,28.44,0.0,5.81,72.17,10.0,4,52,134,1,2,0.15,safe,1.5
192,6.165066,80.765037,2025-11-13 11:29:59,30.17,0.0,9.59,77.29,10.0,3,59,215,0,1,0.067,safe,0.67
193,7.673966,81.131807,2025-11-11 13:29:59,23.72,0.0,33.81,75.6,10.0,5,45,2434,1,1,0.35,low,3.5
194,8.159591,80.684883,2025-11-10 14:29:59,27.45,0.0,13.09,73.82,10.0,0,80,1970,0,3,0.0944,safe,0.94
195,9.119311,80.235795,2025-11-10 14:29:59,15.95,0.0,4.4,71.51,10.0,7,31,509,0,0,0.1833,safe,1.83
196,6.734696,80.120295,2025-11-11 14:29:59,32.91,0.0,0.82,92.19,10.0,0,80,1695,0,0,0.1299,safe,1.3
197,8.013826,81.568228,2025-11-10 16:29:59,31.49,0.0,5.38,81.62,10.0,1,73,7,0,1,0.277,safe,2.77
198,8.518285,80.345827,2025-11-13 10:29:59,26.9,1.45,19.55,83.3,10.0,3,59,316,0,0,0.1731,safe,1.73
199,9.159949,81.572028,2025-11-14 14:29:59,20.55,0.0,2.83,86.43,10.0,0,80,1279,0,1,0.2378,safe,2.38
200,7.674185,79.749362,2025-11-14 21:29:59,23.33,0.0,14.48,59.35,10.0,6,38,1869,0,1,0.2545,safe,2.54
201,7.873979,79.946745,2025-11-09 02:29:59,27.89,0.0,33.65,71.14,10.0,1,73,77,0,1,0.2,safe,2.0
202,6.882356,81.874298,2025-11-14 02:29:59,35.38,0.0,25.48,71.19,10.0,3,59,986,0,3,0.1864,safe,1.86
203,6.660985,80.543276,2025-11-09 11:29:59,26.44,0.0,9.96,84.66,10.0,2,66,847,1,1,0.15,safe,1.5
204,8.344425,80.890055,2025-11-12 04:29:59,35.7,0.0,5.0,82.65,10.0,0,80,1399,1,1,0.15,safe,1.5
205,6.703349,80.486519,2025-11-10 12:29:59,30.42,3.61,19.86,92.25,10.0,6,38,143,0,2,0.123,safe,1.23
206,8.964369,81.719586,2025-11-14 13:29:59,30.07,9.47,1.72,54.94,10.0,3,59,938,1,0,0.15,safe,1.5
207,9.668292,81.133875,2025-11-09 07:29:59,22.35,0.0,1.08,78.87,10.0,7,31,1807,0,1,0.2402,safe,2.4
