event_id,latitude,longitude,timestamp,event_type,severity,duration_hours,affected_radius_km,casualties,weather_condition,traffic_level,day_of_week,hour_of_day,resolved
32,6.990879,79.808759,2023-11-22 08:00:00,accident,2,4.8,1.47,0,clear,1,2,8,True
33,6.91682,79.843159,2024-06-01 15:00:00,accident,3,4.44,3.01,0,clear,5,5,15,False
34,6.918505,80.29141,2023-10-12 17:00:00,traffic_jam,4,0.21,2.03,0,clear,4,3,17,True
35,6.838189,79.992426,2024-02-27 09:00:00,accident,1,6.64,1.9,0,clear,1,1,9,True
36,6.888842,79.931676,2023-06-09 12:00:00,traffic_jam,5,5.48,1.63,0,clear,7,4,12,False
37,8.054971,81.339041,2023-08-08 22:00:00,accident,1,6.28,1.12,0,clear,8,1,22,True
38,6.827682,79.85392,2023-01-15 13:00:00,flooding,10,6.36,7.49,0,rain,8,6,13,True
39,8.206418,80.569318,2024-06-19 19:00:00,accident,9,4.15,0.3,1,rain,3,2,19,True
40,6.876317,79.815778,2024-09-30 08:00:00,accident,3,7.53,1.99,0,clear,6,0,8,True
41,6.696768,80.679798,2024-01-19 17:00:00,accident,7,1.16,0.26,1,storm,7,4,17,True
42,6.842815,79.805013,2023-03-19 17:00:00,traffic_jam,2,3.31,1.81,0,rain,3,6,17,True
43,6.349053,81.836875,2024-01-30 08:00:00,flooding,6,11.58,1.91,0,rain,3,1,8,True
44,7.94236,79.578839,2024-01-11 23:00:00,accident,7,0.69,0.55,4,heavy_rain,3,3,23,True
45,8.499312,81.847165,2023-02-14 11:00:00,flooding,8,6.37,1.96,0,heavy_rain,2,1,11,True
46,8.989917,81.054683,2024-11-16 15:00:00,traffic_jam,5,1.67,1.96,0,rain,10,5,15,False
47,6.890849,79.835377,2024-04-25 21:00:00,accident,3,7.09,1.89,0,clear,7,3,21,True
48,5.980315,81.156998,2023-08-31 19:00:00,accident,3,1.43,0.37,0,rain,9,3,19,True
49,6.931125,79.853324,2023-07-07 19:00:00,weather,5,6.03,1.01,0,storm,10,4,19,True
50,6.80285,79.965484,2024-06-16 20:00:00,accident,4,6.54,0.37,0,storm,2,6,20,True
51,8.758492,79.553942,2024-02-01 21:00:00,traffic_jam,1,2.49,0.04,0,heavy_rain,3,3,21,True
52,6.810906,79.852646,2023-03-31 12:00:00,flooding,3,5.31,5.37,0,rain,10,4,12,True
53,8.461467,81.37468,2024-10-01 04:00:00,weather,1,1.69,3.3,0,storm,3,1,4,True
54,9.239161,81.402883,2024-07-10 20:00:00,weather,2,2.27,0.99,0,heavy_rain,2,2,20,True
55,8.456686,81.780453,2024-05-03 05:00:00,landslide,9,0.45,0.24,0,rain,8,4,5,False
56,8.5258,80.292184,2023-03-16 07:00:00,weather,4,9.17,0.42,0,heavy_rain,9,3,7,True
57,6.926204,79.904692,2024-01-05 09:00:00,flooding,5,1.01,0.66,0,heavy_rain,6,4,9,True
58,8.940489,81.494652,2024-11-01 05:00:00,road_closure,3,0.9,2.66,0,clear,3,4,5,False
59,6.81323,79.889975,2024-01-16 07:00:00,weather,4,1.5,1.61,0,rain,2,1,7,True
60,7.054307,81.415638,2024-08-26 06:00:00,landslide,4,5.41,3.93,0,clear,7,0,6,True
61,6.842736,79.921907,2024-06-26 22:00:00,flooding,1,2.46,0.27,0,heavy_rain,10,2,22,True
62,6.804305,79.974854,2023-07-24 18:00:00,accident,1,2.6,0.96,0,storm,6,0,18,True
63,7.339215,79.597526,2024-05-18 19:00:00,accident,3,0.03,0.52,0,heavy_rain,10,5,19,True
64,8.225826,80.685403,2023-09-17 12:00:00,accident,3,0.67,2.99,0,clear,4,6,12,True
65,6.669932,81.233043,2024-03-11 11:00:00,accident,10,11.25,8.56,4,clear,8,0,11,False
66,6.888231,79.983144,2023-07-19 12:00:00,accident,3,2.21,3.64,0,heavy_rain,7,2,12,False
67,6.930698,81.730366,2024-06-23 12:00:00,protest,8,1.91,2.58,0,clear,6,6,12,True
68,6.891218,79.975951,2023-11-26 07:00:00,traffic_jam,8,6.22,1.03,0,clear,2,6,7,True
69,7.093332,80.390444,2023-03-19 06:00:00,flooding,4,1.0,5.31,0,heavy_rain,8,6,6,True
70,6.381639,80.449512,2024-03-28 09:00:00,accident,8,1.53,1.12,2,heavy_rain,3,3,9,True
71,8.794583,80.59411,2023-06-08 08:00:00,flooding,2,0.87,0.08,0,heavy_rain,1,3,8,True
72,9.53151,79.546744,2024-01-29 07:00:00,accident,10,10.44,4.98,10,rain,9,0,7,True
73,6.952213,79.986054,2023-07-05 09:00:00,accident,2,2.76,0.11,0,heavy_rain,6,2,9,True
74,6.870884,79.989103,2024-11-17 19:00:00,accident,1,8.04,2.01,0,clear,5,6,19,True
75,8.772063,80.12626,2023-04-06 19:00:00,traffic_jam,4,6.54,0.89,0,rain,2,3,19,True
76,6.698994,80.013275,2023-11-29 23:00:00,traffic_jam,2,4.52,1.71,0,rain,4,2,23,True
77,6.968545,80.899219,2024-08-20 19:00:00,traffic_jam,7,0.11,1.72,0,rain,10,1,19,True
78,6.127394,81.732344,2023-04-22 21:00:00,accident,2,0.27,0.07,0,rain,5,5,21,True
79,6.813103,79.998743,2024-03-05 07:00:00,traffic_jam,10,15.9,3.8,0,clear,10,1,7,True
80,6.954814,79.826672,2024-02-11 14:00:00,weather,3,1.21,3.21,0,heavy_rain,6,6,14,False
81,8.879621,81.479744,2023-03-28 08:00:00,weather,3,1.05,1.17,0,rain,3,1,8,False
82,6.85307,79.95335,2024-04-22 05:00:00,accident,3,7.06,1.61,0,clear,3,0,5,True
83,8.331112,79.732626,2024-06-04 22:00:00,accident,10,1.19,0.68,5,clear,8,1,22,True
84,9.165719,80.189584,2023-08-25 12:00:00,weather,2,2.35,2.88,0,rain,2,4,12,False
85,6.954327,79.876025,2023-05-23 21:00:00,accident,3,4.4,0.37,0,fog,6,1,21,False
86,6.845229,79.97393,2023-07-26 22:00:00,weather,4,0.88,0.81,0,storm,10,2,22,True
87,6.802635,81.59982,2023-06-15 06:00:00,accident,1,0.51,0.11,0,heavy_rain,6,3,6,True
88,6.870557,79.924317,2024-06-30 20:00:00,accident,4,9.96,2.17,0,clear,10,6,20,True
89,6.828272,79.858245,2024-02-03 11:00:00,accident,1,0.45,2.74,0,rain,1,5,11,True
90,7.742929,80.494599,2024-06-29 17:00:00,accident,5,13.56,1.72,0,clear,3,5,17,True
91,8.668439,79.834281,2023-03-23 14:00:00,accident,7,6.83,1.42,1,clear,7,3,14,True
92,6.873836,79.816834,2023-01-15 17:00:00,protest,2,0.08,0.23,0,rain,2,6,17,True
93,6.938978,79.821174,2023-11-12 14:00:00,accident,9,5.69,5.27,4,rain,2,6,14,False
94,6.801205,79.978816,2024-10-24 15:00:00,accident,1,3.8,6.16,0,fog,9,3,15,True
95,8.526778,80.284813,2024-10-01 11:00:00,accident,9,6.55,2.92,1,clear,2,1,11,True
96,7.857442,81.346902,2024-09-12 22:00:00,flooding,1,3.39,2.13,0,rain,3,3,22,True
97,6.815317,79.880765,2023-05-04 11:00:00,accident,10,1.32,0.14,1,clear,10,3,11,False
98,6.515188,79.735278,2024-09-19 11:00:00,weather,4,2.2,4.73,0,heavy_rain,8,3,11,True
99,6.923092,79.810198,2023-01-22 18:00:00,accident,1,0.75,1.68,0,clear,3,6,18,True
100,6.892494,79.821817,2023-08-15 16:00:00,weather,10,1.15,7.32,0,heavy_rain,9,1,16,True
101,8.64801,80.382133,2023-07-24 10:00:00,weather,6,0.05,2.03,0,rain,1,0,10,True
102,7.35456,81.717576,2023-09-27 08:00:00,weather,2,1.96,3.66,0,rain,1,2,8,True
103,6.849196,79.825004,2023-02-23 06:00:00,protest,5,0.48,1.75,0,clear,7,3,6,True
104,6.946215,79.904345,2024-05-04 11:00:00,weather,7,8.13,3.59,0,rain,2,5,11,False
105,6.88911,79.977892,2023-12-27 12:00:00,flooding,3,0.4,1.49,0,rain,6,2,12,True
106,6.856728,80.894878,2023-08-19 22:00:00,traffic_jam,3,5.85,1.17,0,fog,7,5,22,True
107,8.6816,81.533696,2024-02-07 21:00:00,accident,1,3.58,3.44,0,rain,6,2,21,True
108,6.029574,80.111955,2023-04-25 18:00:00,accident,3,14.09,1.55,0,clear,3,1,18,True
109,8.581174,81.227261,2024-04-09 18:00:00,traffic_jam,1,1.85,4.16,0,storm,2,1,18,True
110,6.806808,79.860449,2024-06-27 19:00:00,accident,7,1.27,1.19,2,heavy_rain,7,3,19,True
111,6.977413,79.824377,2024-06-17 06:00:00,accident,1,5.08,2.03,0,heavy_rain,9,0,6,True
112,8.349283,79.533321,2023-07-09 14:00:00,weather,7,17.04,3.01,0,storm,2,6,14,False
113,7.804193,81.563393,2023-01-16 14:00:00,traffic_jam,8,0.03,8.55,0,heavy_rain,1,0,14,True
114,6.79871,81.321678,2023-04-16 18:00:00,traffic_jam,1,3.24,3.54,0,heavy_rain,5,6,18,True
115,9.477125,80.730261,2024-07-29 23:00:00,weather,4,4.82,4.46,0,heavy_rain,5,0,23,True
116,7.800032,80.332487,2024-11-29 08:00:00,traffic_jam,9,0.5,0.15,0,rain,5,4,8,True
117,8.160609,81.1665,2023-05-30 04:00:00,accident,3,1.97,1.44,0,rain,2,1,4,True
118,9.418422,79.617355,2024-07-23 06:00:00,weather,3,4.05,2.35,0,heavy_rain,7,1,6,True
119,6.843496,79.944897,2023-07-31 08:00:00,accident,7,7.11,5.37,4,clear,9,0,8,True
120,9.551891,79.709546,2023-08-04 22:00:00,flooding,1,2.89,9.56,0,rain,10,4,22,True
121,6.996453,79.905633,2023-01-29 08:00:00,weather,10,8.03,2.65,0,rain,7,6,8,True
122,6.567709,81.822036,2024-10-25 14:00:00,weather,7,0.03,4.62,0,rain,4,4,14,True
123,8.428681,80.443889,2024-04-04 22:00:00,accident,6,4.05,2.4,0,rain,6,3,22,True
124,8.500166,79.919884,2023-07-04 05:00:00,weather,1,8.48,1.8,0,storm,2,1,5,False
125,6.994706,79.827925,2023-08-25 12:00:00,flooding,1,0.62,2.92,0,storm,6,4,12,True
126,8.761533,80.874292,2024-11-23 17:00:00,accident,1,3.94,0.8,0,clear,1,5,17,True
127,6.868184,79.972259,2023-11-28 23:00:00,weather,7,9.18,5.28,0,heavy_rain,9,1,23,True
128,8.144372,81.292776,2023-11-20 14:00:00,accident,7,10.87,0.59,2,clear,4,0,14,True
129,9.534154,80.462879,2023-04-02 01:00:00,accident,2,4.84,2.96,0,storm,6,6,1,False
130,6.914271,79.881341,2023-08-11 16:00:00,landslide,3,1.76,2.76,0,heavy_rain,3,4,16,True
131,6.165327,79.888335,2023-06-13 02:00:00,accident,7,7.99,1.08,1,clear,5,1,2,True
132,6.852024,79.853071,2023-01-20 19:00:00,accident,2,0.24,1.68,0,clear,3,4,19,True
133,6.803071,79.884668,2024-02-18 05:00:00,accident,2,2.61,3.33,0,heavy_rain,5,6,5,True
134,6.906975,80.412264,2024-04-26 08:00:00,landslide,6,4.21,0.67,0,rain,10,4,8,True
135,7.551941,81.648342,2023-09-25 22:00:00,weather,5,7.04,0.91,0,rain,3,0,22,True
136,8.752915,80.537026,2023-07-23 09:00:00,flooding,2,3.18,2.24,0,rain,3,6,9,False
137,9.762118,81.088558,2023-10-14 15:00:00,weather,2,2.63,8.0,0,rain,3,5,15,True
138,6.832067,79.920548,2023-07-01 15:00:00,accident,3,1.93,2.7,0,clear,5,5,15,True
139,6.968941,79.994302,2023-09-25 13:00:00,accident,4,0.09,4.69,0,rain,4,0,13,False
140,8.792225,81.136401,2023-09-19 11:00:00,accident,1,8.3,2.6,0,heavy_rain,2,1,11,True
141,7.248845,81.048136,2023-01-16 22:00:00,traffic_jam,3,0.08,2.42,0,rain,6,0,22,False
142,6.853368,79.999028,2024-02-26 13:00:00,accident,3,2.37,0.33,0,clear,8,0,13,False
143,8.95626,81.323911,2024-04-15 17:00:00,accident,1,7.18,0.13,0,clear,5,0,17,True
144,6.952484,79.982346,2023-02-15 09:00:00,accident,7,9.38,13.22,0,clear,2,2,9,False
145,6.018397,81.532439,2023-06-04 19:00:00,flooding,9,6.86,2.64,0,heavy_rain,3,6,19,True
146,6.959996,79.821777,2024-05-27 18:00:00,traffic_jam,10,3.9,9.75,0,rain,2,0,18,True
147,6.749016,80.525604,2023-08-06 08:00:00,traffic_jam,3,17.67,2.11,0,clear,10,6,8,True
148,7.297763,80.781153,2024-08-20 12:00:00,weather,4,7.08,0.42,0,heavy_rain,8,1,12,True
149,6.844371,79.879145,2024-05-13 15:00:00,traffic_jam,2,0.43,0.61,0,clear,6,0,15,True
150,6.994548,79.899779,2024-11-27 21:00:00,traffic_jam,3,8.86,4.44,0,clear,9,2,21,False
151,6.933427,79.939794,2023-05-06 10:00:00,weather,1,2.18,12.98,0,rain,1,5,10,False
152,6.809657,79.83215,2023-09-05 09:00:00,accident,2,3.29,0.4,0,clear,3,1,9,False
153,6.862925,79.876397,2023-07-17 18:00:00,weather,5,0.81,2.4,0,rain,9,0,18,False
154,9.50708,81.575206,2024-05-23 19:00:00,accident,10,1.47,0.74,1,clear,4,3,19,False
155,6.977968,79.865469,2023-05-27 03:00:00,accident,3,5.11,0.44,0,clear,6,5,3,True
156,7.624705,79.881939,2023-07-13 21:00:00,weather,7,0.69,3.97,0,rain,6,3,21,True
157,6.969427,79.892452,2024-09-30 14:00:00,traffic_jam,9,1.08,7.8,0,clear,4,0,14,True
158,6.918269,79.956465,2023-11-07 01:00:00,traffic_jam,3,0.91,1.38,0,fog,3,1,1,True
159,6.947025,79.862797,2023-03-26 19:00:00,accident,1,7.2,1.96,0,rain,2,6,19,False
160,7.574273,81.862525,2024-11-08 10:00:00,weather,3,3.59,0.8,0,heavy_rain,1,4,10,True
161,6.804377,79.867014,2024-06-28 10:00:00,weather,7,2.2,0.29,0,heavy_rain,8,4,10,True
162,7.331182,80.331286,2024-01-29 03:00:00,traffic_jam,10,5.66,1.73,0,clear,10,0,3,True
163,6.953766,79.804419,2024-07-28 22:00:00,weather,8,1.51,8.53,0,rain,8,6,22,True
164,6.921847,80.413177,2024-01-23 10:00:00,accident,3,3.86,1.07,0,clear,7,1,10,True
165,9.707785,79.843375,2024-06-10 13:00:00,flooding,2,5.01,8.47,0,heavy_rain,6,0,13,True
166,6.899667,79.918986,2024-11-26 18:00:00,traffic_jam,6,10.35,6.75,0,clear,9,1,18,True
167,8.221041,80.386585,2023-07-09 09:00:00,weather,1,3.86,1.9,0,rain,6,6,9,True
168,9.652284,79.790899,2024-05-08 19:00:00,weather,4,1.14,0.54,0,rain,6,2,19,True
169,8.357515,79.890672,2023-03-31 17:00:00,accident,9,4.97,0.15,2,rain,7,4,17,True
170,6.818708,79.920944,2023-06-24 20:00:00,flooding,1,6.76,2.52,0,rain,2,5,20,True
171,6.829237,79.811183,2023-03-19 10:00:00,flooding,1,6.6,4.47,0,rain,9,6,10,True
172,6.98021,79.923213,2023-09-19 13:00:00,traffic_jam,3,0.0,1.49,0,storm,9,1,13,True
173,7.500102,79.881943,2023-12-27 08:00:00,accident,4,2.09,3.94,0,rain,8,2,8,True
174,6.94973,79.996239,2023-08-10 08:00:00,flooding,5,3.96,7.05,0,rain,6,3,8,False
175,6.879599,80.670611,2023-12-28 09:00:00,traffic_jam,4,2.32,3.22,0,heavy_rain,7,3,9,True
176,8.383272,80.551717,2024-02-10 17:00:00,accident,2,18.94,0.24,0,clear,2,5,17,True
177,6.984939,79.814161,2023-06-14 13:00:00,flooding,7,4.88,0.32,0,storm,3,2,13,True
178,5.914105,79.756767,2023-01-04 09:00:00,accident,2,2.6,2.63,0,fog,4,2,9,True
179,6.847033,79.863135,2024-06-04 17:00:00,accident,4,1.13,0.78,0,rain,5,1,17,True
180,7.926982,80.488923,2023-09-12 17:00:00,traffic_jam,5,1.05,2.43,0,rain,9,1,17,True
181,9.405711,80.329652,2023-09-16 04:00:00,accident,7,7.58,4.63,0,clear,3,5,4,True
182,7.726028,80.704237,2023-09-30 02:00:00,accident,1,0.96,0.65,0,heavy_rain,10,5,2,True
183,6.857046,79.97436,2024-07-29 08:00:00,traffic_jam,4,0.31,0.7,0,clear,10,0,8,True
184,7.338719,79.852684,2023-05-03 10:00:00,accident,9,0.02,0.13,4,clear,3,2,10,True
185,6.809088,81.134039,2024-02-19 16:00:00,accident,5,9.45,2.31,0,storm,8,0,16,True
186,6.851925,79.86661,2024-01-01 18:00:00,weather,4,3.16,6.71,0,heavy_rain,4,0,18,False
187,6.924594,79.859648,2023-03-02 16:00:00,accident,3,17.74,1.2,0,rain,1,3,16,True
188,6.967566,79.97532,2023-07-29 08:00:00,accident,3,2.56,0.27,0,fog,1,5,8,True
189,6.243088,79.647138,2023-08-11 19:00:00,accident,8,1.74,2.01,4,clear,10,4,19,True
190,8.76636,80.941475,2024-09-17 17:00:00,landslide,2,7.35,0.38,0,heavy_rain,3,1,17,True
191,6.885471,79.842903,2023-07-21 13:00:00,protest,2,1.65,5.69,0,rain,9,4,13,False
192,6.858338,79.930586,2023-11-15 06:00:00,weather,2,1.8,5.86,0,storm,9,2,6,False
193,7.881361,81.172787,2024-10-27 14:00:00,accident,3,0.83,0.86,0,clear,10,6,14,True
194,6.946742,79.973218,2023-01-07 06:00:00,accident,2,0.9,8.97,0,rain,9,5,6,True
195,6.822808,79.81245,2024-01-06 01:00:00,accident,7,1.03,2.37,0,rain,7,5,1,False
196,8.964668,81.107236,2023-11-23 18:00:00,weather,6,4.96,0.69,0,heavy_rain,6,3,18,True
197,6.911842,79.897724,2024-04-02 03:00:00,accident,2,0.44,5.34,0,clear,3,1,3,True
198,6.981803,79.921846,2024-11-29 17:00:00,accident,9,20.56,2.63,2,rain,4,4,17,False
199,6.819077,79.914407,2024-07-03 19:00:00,accident,6,0.52,1.64,0,clear,9,2,19,True
200,8.137613,80.728209,2024-05-12 16:00:00,weather,3,8.38,2.21,0,heavy_rain,3,6,16,True
201,9.229129,80.718335,2023-04-03 00:00:00,weather,3,6.14,6.09,0,storm,8,0,0,True
202,9.574749,81.835716,2024-01-08 16:00:00,landslide,2,3.57,1.36,0,heavy_rain,9,0,16,True
203,6.832441,79.847789,2023-10-14 05:00:00,traffic_jam,8,2.01,4.28,0,clear,9,5,5,True
204,6.880212,79.982171,2024-08-08 00:00:00,weather,6,1.97,3.03,0,heavy_rain,8,3,0,True
205,7.004196,81.223277,2024-10-13 08:00:00,weather,2,6.25,1.72,0,rain,7,6,8,True
206,6.866262,79.992674,2023-05-22 07:00:00,weather,4,4.83,3.61,0,heavy_rain,9,0,7,False
207,6.673659,81.334816,2023-01-29 19:00:00,weather,5,0.18,1.22,0,heavy_rain,2,6,19,True
208,6.958083,81.716704,2023-09-28 01:00:00,weather,5,5.04,0.49,0,storm,1,3,1,True
209,8.60592,80.635802,2023-09-29 07:00:00,traffic_jam,10,1.94,0.05,0,heavy_rain,3,4,7,True
210,6.995193,81.66793,2024-06-21 10:00:00,traffic_jam,3,7.15,0.29,0,clear,3,4,10,True
211,8.728129,81.583626,2024-06-03 11:00:00,accident,1,0.09,0.78,0,fog,10,0,11,True
212,7.366692,80.744441,2023-11-30 17:00:00,traffic_jam,6,0.49,3.52,0,heavy_rain,5,3,17,True
213,9.15804,80.908755,2023-09-22 22:00:00,traffic_jam,2,2.06,3.58,0,clear,4,4,22,True
214,6.158889,81.035514,2023-07-01 12:00:00,protest,1,1.17,0.54,0,rain,8,5,12,True
215,6.977323,79.943916,2023-12-11 08:00:00,traffic_jam,3,4.42,2.33,0,clear,2,0,8,True
216,8.907073,80.872468,2023-02-13 09:00:00,traffic_jam,7,5.07,6.39,0,clear,3,0,9,True
217,9.692006,81.121219,2023-11-18 02:00:00,flooding,10,13.86,0.29,0,rain,3,5,2,True
218,8.841682,81.395707,2024-04-01 12:00:00,weather,1,1.66,0.67,0,heavy_rain,6,0,12,True
219,6.987628,79.934345,2023-03-31 06:00:00,accident,5,0.9,3.19,0,clear,9,4,6,True
220,6.942636,79.967463,2023-05-03 10:00:00,accident,2,0.27,1.43,0,clear,4,2,10,True
221,7.151212,79.765431,2024-07-11 19:00:00,landslide,1,10.07,4.8,0,clear,2,3,19,True
222,8.889933,81.607173,2023-09-15 19:00:00,flooding,2,3.48,7.8,0,heavy_rain,5,4,19,True
223,7.283193,80.776778,2024-09-04 14:00:00,protest,2,8.14,9.33,0,heavy_rain,9,2,14,True
224,7.646341,80.146791,2024-04-01 20:00:00,traffic_jam,6,0.76,5.36,0,rain,8,0,20,True
225,6.962283,79.944388,2023-03-10 10:00:00,accident,4,0.19,0.73,0,rain,10,4,10,True
226,6.99595,79.825348,2024-11-25 12:00:00,accident,7,9.7,4.42,2,clear,4,0,12,True
227,7.378987,79.713595,2024-10-02 07:00:00,accident,2,10.86,2.39,0,clear,1,2,7,True
228,6.42469,80.916281,2023-05-24 12:00:00,weather,4,0.37,4.42,0,storm,5,2,12,True
229,7.264072,80.264106,2024-06-04 06:00:00,accident,7,0.78,1.87,1,clear,6,1,6,True
230,6.943281,79.879699,2023-09-19 14:00:00,accident,3,4.96,1.29,0,clear,4,1,14,True
231,8.502248,79.965662,2024-04-05 21:00:00,accident,5,7.47,1.9,0,fog,8,4,21,True
232,5.927514,80.57838,2023-09-23 11:00:00,accident,4,5.79,0.34,0,clear,9,5,11,True
233,9.204206,81.569677,2024-09-28 10:00:00,accident,1,2.14,3.09,0,clear,2,5,10,True
234,6.828301,79.623159,2024-09-20 12:00:00,accident,3,3.94,3.96,0,clear,7,4,12,True
235,6.846538,79.927035,2024-10-23 07:00:00,traffic_jam,2,1.84,2.3,0,clear,10,2,7,True
236,6.812553,79.901851,2023-02-21 07:00:00,accident,1,3.07,5.18,0,rain,6,1,7,True
237,6.932728,79.922149,2024-08-10 17:00:00,accident,1,8.0,5.59,0,heavy_rain,3,5,17,True
238,9.481659,81.121711,2023-04-02 21:00:00,traffic_jam,3,5.15,0.15,0,clear,6,6,21,True
239,6.037093,81.291944,2023-08-15 07:00:00,weather,9,1.5,7.86,0,heavy_rain,7,1,7,True
240,6.937432,79.95455,2023-07-08 15:00:00,traffic_jam,2,14.96,3.66,0,heavy_rain,7,5,15,True
241,7.676889,81.23122,2024-03-07 06:00:00,traffic_jam,3,4.34,7.2,0,clear,2,3,6,True
242,6.946368,79.987417,2024-04-01 11:00:00,accident,1,0.56,2.07,0,rain,7,0,11,True
243,6.863355,79.816936,2023-01-21 17:00:00,protest,2,8.11,1.68,0,rain,8,5,17,True
244,6.933746,79.895056,2023-03-29 00:00:00,protest,6,9.44,6.99,0,heavy_rain,5,2,0,True
245,7.658335,79.515424,2024-10-14 20:00:00,accident,8,0.35,4.82,2,fog,4,0,20,False
246,6.343509,80.874782,2023-03-27 10:00:00,flooding,1,5.69,2.01,0,rain,3,0,10,True
247,7.337524,80.707144,2024-05-26 10:00:00,accident,2,6.2,9.61,0,clear,8,6,10,True
248,8.774291,80.789005,2024-02-09 17:00:00,accident,5,8.92,0.71,0,rain,4,4,17,True
249,7.340573,81.695496,2024-08-02 14:00:00,flooding,1,0.85,6.62,0,heavy_rain,9,4,14,True
250,7.678022,79.965857,2023-09-27 07:00:00,weather,1,1.86,0.27,0,storm,4,2,7,False
251,9.022367,79.535352,2024-03-18 17:00:00,accident,1,1.34,0.64,0,rain,3,0,17,True
252,8.981384,79.635145,2024-08-13 03:00:00,accident,1,0.8,7.88,0,heavy_rain,6,1,3,False
253,9.509942,79.656284,2024-11-19 14:00:00,accident,1,0.25,1.61,0,clear,10,1,14,True
254,9.715462,81.427437,2023-04-20 09:00:00,accident,1,4.37,1.15,0,rain,7,3,9,True
255,7.315258,79.996279,2023-12-07 18:00:00,accident,2,0.46,0.82,0,clear,10,3,18,True
256,5.95035,80.929529,2023-08-28 02:00:00,accident,5,1.13,0.96,0,rain,5,0,2,False
257,6.81454,79.911528,2023-06-21 12:00:00,accident,3,7.9,0.32,0,clear,10,2,12,False
258,6.895466,79.812124,2024-01-27 01:00:00,flooding,8,0.55,4.16,0,heavy_rain,5,5,1,False
259,8.292319,79.859306,2024-03-29 07:00:00,accident,7,5.58,4.7,6,rain,2,4,7,False
260,6.857065,81.385878,2023-05-04 10:00:00,weather,1,7.27,1.75,0,storm,5,3,10,True
261,6.940331,79.814656,2024-05-15 07:00:00,weather,3,0.35,2.91,0,heavy_rain,9,2,7,True
262,8.784185,80.94536,2023-06-20 17:00:00,flooding,2,3.61,5.58,0,rain,9,1,17,True
